txnId,orderCreateTime,upc,productDescription,productLink,qty,price,deliveryType,osVersion,deviceType,appType,orderDispatchTime,picker,pickCompleteTime,lineCompleteStatus,orderCompleteStatus,pickUpRequestTime,orderDeliveryTime,customerPickUpStatus
1.00E+12,10/1/18 10:06,37000928102,Swifer wetjet floor mop,https://www.target.com/p/swiffer-wetjet-floor-mop-starter-kit-1-power-mop-5-mopping-pads-1-floor-cleaner-liquid-solution/-/A-18813263,1,22.99,driveUpDelivery,ios-10.3.4,Tablet,browser,10/1/18 10:17,pk224,10/1/18 10:37,TRUE,cancelled,---,---,--
1.00E+12,10/1/18 10:31,75720005055,2.5Ga water jug,https://www.target.com/p/poland-spring-brand-100-natural-spring-water-2-5-gal-jug/-/A-14756374,2,3.09,driveUpDelivery,ios-10.3.3,Mobile,browser,10/1/18 10:40,pk233,10/1/18 11:02,TRUE,complete,10/1/18 11:48,10/1/18 11:52,pickUpCompleted
1.00E+12,10/1/18 10:52,41333048642,Duracell AA batteries,https://www.target.com/p/duracell-copper-top-aa-batteries-10ct/-/A-14044612,2,9.49,driveUpDelivery,Android-8.1,Desktop,browser,10/1/18 11:06,pk220,10/1/18 11:21,TRUE,complete,10/1/18 11:43,10/1/18 11:49,pickUpCompleted
1.00E+12,10/1/18 10:52,8.90E+11,Teak wood patio dining set,https://www.target.com/p/marina-11pc-teak-patio-dining-set-white-modway/-/A-77605946,2,3999.99,driveUpDelivery,Android-8.1,Desktop,browser,10/1/18 11:06,pk220,10/1/18 11:21,TRUE,complete,10/1/18 11:43,10/1/18 11:49,declined
1.00E+12,10/1/18 10:52,75720005055,2.5Ga water jug,https://www.target.com/p/poland-spring-brand-100-natural-spring-water-2-5-gal-jug/-/A-14756374,2,3.09,driveUpDelivery,Android-8.1,Desktop,browser,10/1/18 11:06,pk220,10/1/18 11:21,TRUE,complete,10/1/18 11:43,10/1/18 11:49,declined
1.00E+12,10/1/18 10:52,37000928102,Swifer wetjet floor mop,https://www.target.com/p/swiffer-wetjet-floor-mop-starter-kit-1-power-mop-5-mopping-pads-1-floor-cleaner-liquid-solution/-/A-18813263,2,22.99,driveUpDelivery,Android-8.1,Desktop,browser,10/1/18 11:06,pk220,10/1/18 11:21,TRUE,complete,10/1/18 11:43,10/1/18 11:49,pickUpCompleted
1.00E+12,10/1/18 11:02,8.13E+11,Jbuds Air true wireless earbuds,https://www.target.com/p/jbuds-air-true-wireless-signature-earbuds-black/-/A-54283695,2,49.99,driveUpDelivery,ios-10.3.3,Desktop,browser,10/1/18 11:09,pk224,10/1/18 11:29,TRUE,cancelled,---,---,--
1.00E+12,10/1/18 11:02,8.45E+11," Visio E-Series 70"" 4K SmarTV",https://www.target.com/p/vizio-e-series-70-class-69-5-diag-4k-hdr-smart-tv-black-e70-f3/-/A-53347121,2,749.99,driveUpDelivery,ios-10.3.3,Desktop,browser,10/1/18 11:09,pk224,10/1/18 11:29,FALSE,cancelled,---,---,--
1.00E+12,10/1/18 11:21,11217994716,Double Zipper snack bags,https://www.target.com/p/double-zipper-snack-size-bags-150ct-up-up-8482/-/A-16360916,2,3.49,driveUpDelivery,ios-10.3.4,Desktop,app,10/1/18 11:36,pk226,10/1/18 11:56,TRUE,complete,10/1/18 13:06,10/1/18 13:13,pickUpCompleted
1.00E+12,10/1/18 11:49,8.30E+11,Lemon Scent Dishwasher Tablets Smartly,https://www.target.com/p/lemon-scent-dishwasher-packs-32ct-smartly-8482/-/A-75666570,1,4.49,driveUpDelivery,Android-7.0,Tablet,browser,10/1/18 11:58,pk224,10/1/18 12:18,TRUE,complete,10/1/18 13:30,10/1/18 13:34,pickUpCompleted
1.00E+12,10/1/18 11:49,8.96E+11,Raw Sugar Simply Hand Wash Sensitive Skin,https://www.target.com/p/raw-sugar-simply-hand-wash-sensitive-skin-green-tea-cucumber-aloe-16-9-fl-oz/-/A-52735228,2,4.99,driveUpDelivery,Android-7.0,Tablet,browser,10/1/18 11:58,pk224,10/1/18 12:18,TRUE,complete,10/1/18 13:30,10/1/18 13:34,pickUpCompleted
1.00E+12,10/1/18 12:08,6.48E+11,7oz Opalhouse Glass Jar Candle Sweet Almond Blossom,https://www.target.com/p/7oz-glass-jar-candle-sweet-almond-blossom---floral-collection---opalhouse--8482-/-/A-54012199,1,10.99,driveUpDelivery,ios-10.3.4,Desktop,browser,10/1/18 12:18,pk234,10/1/18 12:42,TRUE,complete,10/1/18 14:06,10/1/18 14:11,pickUpCompleted
1.00E+12,10/1/18 12:08,8.13E+11,Jbuds Air true wireless earbuds,https://www.target.com/p/jbuds-air-true-wireless-signature-earbuds-black/-/A-54283695,2,49.99,driveUpDelivery,ios-10.3.4,Desktop,browser,10/1/18 12:18,pk234,10/1/18 12:42,TRUE,complete,10/1/18 14:06,10/1/18 14:11,pickUpCompleted
1.00E+12,10/1/18 12:29,8.50E+11,Best Ride on Cars 12V BMW X5,https://www.target.com/p/best-ride-on-cars-12v-bmw-x5-powered-ride-on-white/-/A-80014941,1,499.99,driveUpDelivery,ios-9.3.6,Mobile,app,10/1/18 12:31,pk232,10/1/18 12:51,FALSE,cancelled,---,---,--
1.00E+12,10/1/18 12:29,36000485981,Cottonelle ultra toilet paper,https://www.target.com/p/cottonelle-ultra-comfort-care-toilet-paper---24-mega-rolls/-/A-75665836,2,21.99,driveUpDelivery,ios-9.3.6,Mobile,app,10/1/18 12:31,pk232,10/1/18 12:51,TRUE,cancelled,---,---,--
1.00E+12,10/1/18 12:40,1.92E+11,heydayª Wired Earbuds - Dusty Coral,https://www.target.com/p/heyday-8482-wired-earbuds-dusty-coral/-/A-79899095,2,8.99,driveUpDelivery,Android-7.0,Desktop,browser,10/1/18 12:47,pk233,10/1/18 13:04,TRUE,complete,10/1/18 13:49,10/1/18 13:55,pickUpCompleted
1.00E+12,10/1/18 12:40,72785137349,Citrus Grove Liquid Hand Soap,https://www.target.com/p/citrus-grove-liquid-hand-soap-10-fl-oz-smartly-8482/-/A-77592715,1,0.99,driveUpDelivery,Android-7.0,Desktop,browser,10/1/18 12:47,pk233,10/1/18 13:04,TRUE,complete,10/1/18 13:49,10/1/18 13:55,pickUpCompleted
1.00E+12,10/1/18 12:40,8.90E+11,Teak wood patio dining set,https://www.target.com/p/marina-11pc-teak-patio-dining-set-white-modway/-/A-77605946,1,3999.99,driveUpDelivery,Android-7.0,Desktop,browser,10/1/18 12:47,pk233,10/1/18 13:04,TRUE,complete,10/1/18 13:49,10/1/18 13:55,declined
1.00E+12,10/1/18 12:54,8.88E+11,Electric Scooter Folding,https://www.target.com/p/hover-1-journey-electric-folding-scooter---white/-/A-78595840,1,349.99,driveUpDelivery,ios-9.3.6,Desktop,browser,10/1/18 13:01,pk238,10/1/18 13:22,TRUE,complete,10/1/18 14:49,10/1/18 14:54,declined
1.00E+12,10/1/18 12:54,1.93E+11,2 Drawer Night Stand,https://www.target.com/p/pine-wood-night-stand-with-2-drawers-gold-benzara/-/A-54626340,2,339.99,driveUpDelivery,ios-9.3.6,Desktop,browser,10/1/18 13:01,pk238,10/1/18 13:22,TRUE,complete,10/1/18 14:49,10/1/18 14:54,declined
1.00E+12,10/1/18 12:54,85239021873,Archer Farms Monster Trail Mix,https://www.target.com/p/monster-trail-mix-36oz-archer-farms-153/-/A-53169296,2,7.99,driveUpDelivery,ios-9.3.6,Desktop,browser,10/1/18 13:01,pk238,10/1/18 13:22,TRUE,complete,10/1/18 14:49,10/1/18 14:54,pickUpCompleted
1.00E+12,10/1/18 13:09,79105116626,pet food 30 lbs,https://www.target.com/p/nutro-wholesome-essentials-adult-chicken-rice-dry-dog-food/-/A-53090016,1,54.99,driveUpDelivery,ios-10.3.4,Mobile,browser,10/1/18 13:23,pk235,10/1/18 13:44,TRUE,complete,10/1/18 14:33,10/1/18 14:40,pickUpCompleted
1.00E+12,10/1/18 13:09,73257014427,Tall FlexGuard Kitchen Trash Bags 13 Gallon,https://www.target.com/p/flexguard-tall-kitchen-drawstring-trash-bags-unscented-13-gallon-60ct-up-up-153/-/A-14738971,2,8.99,driveUpDelivery,ios-10.3.4,Mobile,browser,10/1/18 13:23,pk235,10/1/18 13:44,TRUE,complete,10/1/18 14:33,10/1/18 14:40,pickUpCompleted
1.00E+12,10/1/18 13:09,4.91E+11,Set of 3 Non-Stick Cookie Sheets Made By Design,https://www.target.com/p/set-of-3-non-stick-cookie-sheets-carbon-steel-made-by-design-8482/-/A-53118936,1,13,driveUpDelivery,ios-10.3.4,Mobile,browser,10/1/18 13:23,pk235,10/1/18 13:44,TRUE,complete,10/1/18 14:33,10/1/18 14:40,pickUpCompleted
1.00E+12,10/1/18 13:09,8.96E+11,Raw Sugar Simply Hand Wash Sensitive Skin,https://www.target.com/p/raw-sugar-simply-hand-wash-sensitive-skin-green-tea-cucumber-aloe-16-9-fl-oz/-/A-52735228,2,4.99,driveUpDelivery,ios-10.3.4,Mobile,browser,10/1/18 13:23,pk235,10/1/18 13:44,TRUE,complete,10/1/18 14:33,10/1/18 14:40,pickUpCompleted
1.00E+12,10/1/18 13:21,33200005445,Arm & Hammer Liquid Laundry Detergent,https://www.target.com/p/arm---38--hammer-plus-oxiclean-fresh-scent-liquid-laundry-detergent--224-fl-oz/-/A-49135699,1,11.99,driveUpDelivery,ios-10.3.4,Desktop,app,10/1/18 13:37,pk230,10/1/18 13:55,FALSE,cancelled,---,---,--
1.00E+12,10/1/18 13:21,8.30E+11,Lavender & Bergamot Liquid Hand Soap,https://www.target.com/p/lavender-38-bergamot-liquid-hand-soap-12-fl-oz-everspring-8482/-/A-75663199,1,2.79,driveUpDelivery,ios-10.3.4,Desktop,app,10/1/18 13:37,pk230,10/1/18 13:55,TRUE,cancelled,---,---,--
1.00E+12,10/1/18 13:21,7.52E+11,PowerXL Vortex Air Fryer,https://www.target.com/p/as-seen-on-tv-powerxl-vortex-air-fryer--3qt---black/-/A-76544201,2,99.99,driveUpDelivery,ios-10.3.4,Desktop,app,10/1/18 13:37,pk230,10/1/18 13:55,TRUE,cancelled,---,---,--
1.00E+12,10/1/18 13:46,8.30E+11,Lemon Scent Dishwasher Tablets Smartly,https://www.target.com/p/lemon-scent-dishwasher-packs-32ct-smartly-8482/-/A-75666570,1,4.49,driveUpDelivery,ios-10.3.4,Mobile,browser,10/1/18 13:59,pk238,10/1/18 14:23,TRUE,complete,10/1/18 15:05,10/1/18 15:10,pickUpCompleted
1.00E+12,10/1/18 13:46,8.58E+11,Instant Pot Duo 6 quart programmable pressure cooker,https://www.target.com/p/instant-pot-duo-nova-6-quart-7-in-1-one-touch-multi-use-programmable-pressure-cooker-with-new-easy-seal-lid---8211--latest-model/-/A-54643166,1,69.95,driveUpDelivery,ios-10.3.4,Mobile,browser,10/1/18 13:59,pk238,10/1/18 14:23,TRUE,complete,10/1/18 15:05,10/1/18 15:10,pickUpCompleted
1.00E+12,10/1/18 14:07,72785137349,Citrus Grove Liquid Hand Soap,https://www.target.com/p/citrus-grove-liquid-hand-soap-10-fl-oz-smartly-8482/-/A-77592715,1,0.99,driveUpDelivery,Android-7.0,Tablet,browser,10/1/18 14:13,pk236,10/1/18 14:28,TRUE,complete,10/1/18 15:34,10/1/18 15:39,pickUpCompleted
1.00E+12,10/1/18 14:07,41333048642,Duracell AA batteries,https://www.target.com/p/duracell-copper-top-aa-batteries-10ct/-/A-14044612,1,9.49,driveUpDelivery,Android-7.0,Tablet,browser,10/1/18 14:13,pk236,10/1/18 14:28,TRUE,complete,10/1/18 15:34,10/1/18 15:39,pickUpCompleted
1.00E+12,10/1/18 14:25,11217994716,Double Zipper snack bags,https://www.target.com/p/double-zipper-snack-size-bags-150ct-up-up-8482/-/A-16360916,2,3.49,driveUpDelivery,ios-9.3.6,Mobile,browser,10/1/18 14:33,pk228,10/1/18 14:44,TRUE,complete,10/1/18 15:57,10/1/18 16:03,pickUpCompleted
1.00E+12,10/1/18 14:25,79105116626,pet food 30 lbs,https://www.target.com/p/nutro-wholesome-essentials-adult-chicken-rice-dry-dog-food/-/A-53090016,1,54.99,driveUpDelivery,ios-9.3.6,Mobile,browser,10/1/18 14:33,pk228,10/1/18 14:44,TRUE,complete,10/1/18 15:57,10/1/18 16:03,declined
1.00E+12,10/1/18 14:25,36000485981,Cottonelle ultra toilet paper,https://www.target.com/p/cottonelle-ultra-comfort-care-toilet-paper---24-mega-rolls/-/A-75665836,1,21.99,driveUpDelivery,ios-9.3.6,Mobile,browser,10/1/18 14:33,pk228,10/1/18 14:44,TRUE,complete,10/1/18 15:57,10/1/18 16:03,pickUpCompleted
1.00E+12,10/1/18 14:47,7.62E+11,Starbucks medium roast coffee,https://www.target.com/p/starbucks-pike-place-roast-medium-roast-ground-coffee-12oz/-/A-12954151,1,8.99,driveUpDelivery,Android-8.0,Desktop,browser,10/1/18 15:00,pk222,10/1/18 15:20,TRUE,complete,10/1/18 16:55,10/1/18 17:01,pickUpCompleted
1.00E+12,10/1/18 14:47,7.52E+11,PowerXL Vortex Air Fryer,https://www.target.com/p/as-seen-on-tv-powerxl-vortex-air-fryer--3qt---black/-/A-76544201,2,99.99,driveUpDelivery,Android-8.0,Desktop,browser,10/1/18 15:00,pk222,10/1/18 15:20,TRUE,complete,10/1/18 16:55,10/1/18 17:01,pickUpCompleted
1.00E+12,10/1/18 15:09,8.30E+11,Lavender & Bergamot Liquid Hand Soap,https://www.target.com/p/lavender-38-bergamot-liquid-hand-soap-12-fl-oz-everspring-8482/-/A-75663199,2,2.79,driveUpDelivery,ios-9.3.5,Mobile,browser,10/1/18 15:21,pk235,10/1/18 15:39,TRUE,complete,10/1/18 16:27,10/1/18 16:31,pickUpCompleted
1.00E+12,10/1/18 15:09,1.92E+11,heydayª Wired Earbuds - Dusty Coral,https://www.target.com/p/heyday-8482-wired-earbuds-dusty-coral/-/A-79899095,1,8.99,driveUpDelivery,ios-9.3.5,Mobile,browser,10/1/18 15:21,pk235,10/1/18 15:39,TRUE,complete,10/1/18 16:27,10/1/18 16:31,pickUpCompleted
1.00E+12,10/1/18 15:09,4.91E+11,Set of 3 Non-Stick Cookie Sheets Made By Design,https://www.target.com/p/set-of-3-non-stick-cookie-sheets-carbon-steel-made-by-design-8482/-/A-53118936,1,13,driveUpDelivery,ios-9.3.5,Mobile,browser,10/1/18 15:21,pk235,10/1/18 15:39,TRUE,complete,10/1/18 16:27,10/1/18 16:31,pickUpCompleted
1.00E+12,10/1/18 15:09,8.30E+11,Lemon Scent Dishwasher Tablets Smartly,https://www.target.com/p/lemon-scent-dishwasher-packs-32ct-smartly-8482/-/A-75666570,1,4.49,driveUpDelivery,ios-9.3.5,Mobile,browser,10/1/18 15:21,pk235,10/1/18 15:39,TRUE,complete,10/1/18 16:27,10/1/18 16:31,pickUpCompleted
1.00E+12,10/1/18 15:27,11217994716,Double Zipper snack bags,https://www.target.com/p/double-zipper-snack-size-bags-150ct-up-up-8482/-/A-16360916,2,3.49,driveUpDelivery,ios-10.3.3,Tablet,browser,10/1/18 15:37,pk225,10/1/18 15:56,TRUE,cancelled,---,---,--
1.00E+12,10/1/18 15:27,8.30E+11,Lavender & Bergamot Liquid Hand Soap,https://www.target.com/p/lavender-38-bergamot-liquid-hand-soap-12-fl-oz-everspring-8482/-/A-75663199,2,2.79,driveUpDelivery,ios-10.3.3,Tablet,browser,10/1/18 15:37,pk225,10/1/18 15:56,TRUE,cancelled,---,---,--
1.00E+12,10/1/18 15:27,4.91E+11,Set of 3 Non-Stick Cookie Sheets Made By Design,https://www.target.com/p/set-of-3-non-stick-cookie-sheets-carbon-steel-made-by-design-8482/-/A-53118936,1,13,driveUpDelivery,ios-10.3.3,Tablet,browser,10/1/18 15:37,pk225,10/1/18 15:56,TRUE,cancelled,---,---,--
1.00E+12,10/1/18 15:27,81877502248,convertible crib 4 in 1,https://www.target.com/p/storkcraft-steveston-4-in-1-convertible-crib-and-changer-with-drawer/-/A-53910066?preselect=75559733#lnk=sametab,2,279.99,driveUpDelivery,ios-10.3.3,Tablet,browser,10/1/18 15:37,pk225,10/1/18 15:56,FALSE,cancelled,---,---,--
1.00E+12,10/1/18 15:27,70230171276,Plastic Jug Cat Litter,https://www.target.com/p/purina-tidy-cats-clumping-lightweight-4-in-1-strength-plastic-jug-cat-litter-8-5lbs/-/A-50382489,1,12.99,driveUpDelivery,ios-10.3.3,Tablet,browser,10/1/18 15:37,pk225,10/1/18 15:56,TRUE,cancelled,---,---,--
1.00E+12,10/1/18 15:50,16000123151,GM Honey Nut Cheerios Cereal 19 oz,https://www.target.com/p/cheerios-honey-nut-breakfast-cereal-19-5oz-general-mills/-/A-14765766,1,3.99,driveUpDelivery,ios-10.3.3,Desktop,browser,10/1/18 16:07,pk237,10/1/18 16:30,TRUE,complete,10/1/18 18:02,10/1/18 18:09,pickUpCompleted
1.00E+12,10/1/18 15:50,7.52E+11,PowerXL Vortex Air Fryer,https://www.target.com/p/as-seen-on-tv-powerxl-vortex-air-fryer--3qt---black/-/A-76544201,2,99.99,driveUpDelivery,ios-10.3.3,Desktop,browser,10/1/18 16:07,pk237,10/1/18 16:30,TRUE,complete,10/1/18 18:02,10/1/18 18:09,pickUpCompleted
1.00E+12,10/1/18 15:50,7.62E+11,Starbucks medium roast coffee,https://www.target.com/p/starbucks-pike-place-roast-medium-roast-ground-coffee-12oz/-/A-12954151,1,8.99,driveUpDelivery,ios-10.3.3,Desktop,browser,10/1/18 16:07,pk237,10/1/18 16:30,TRUE,complete,10/1/18 18:02,10/1/18 18:09,pickUpCompleted
1.00E+12,10/1/18 15:50,72785137349,Citrus Grove Liquid Hand Soap,https://www.target.com/p/citrus-grove-liquid-hand-soap-10-fl-oz-smartly-8482/-/A-77592715,3,0.99,driveUpDelivery,ios-10.3.3,Desktop,browser,10/1/18 16:07,pk237,10/1/18 16:30,TRUE,complete,10/1/18 18:02,10/1/18 18:09,pickUpCompleted
1.00E+12,10/1/18 16:12,41333048642,Duracell AA batteries,https://www.target.com/p/duracell-copper-top-aa-batteries-10ct/-/A-14044612,1,9.49,driveUpDelivery,ios-10.3.3,Mobile,browser,10/1/18 16:17,pk227,10/1/18 16:41,TRUE,complete,10/1/18 17:11,10/1/18 17:16,pickUpCompleted
1.00E+12,10/1/18 16:12,37000874744,Downy Liquid Detergent,https://www.target.com/p/tide-plus-a-touch-of-downy-april-fresh-high-efficiency-liquid-laundry-detergent---138-fl-oz/-/A-15071687,3,17.99,driveUpDelivery,ios-10.3.3,Mobile,browser,10/1/18 16:17,pk227,10/1/18 16:41,TRUE,complete,10/1/18 17:11,10/1/18 17:16,pickUpCompleted
1.00E+12,10/1/18 16:12,72785137349,Citrus Grove Liquid Hand Soap,https://www.target.com/p/citrus-grove-liquid-hand-soap-10-fl-oz-smartly-8482/-/A-77592715,2,0.99,driveUpDelivery,ios-10.3.3,Mobile,browser,10/1/18 16:17,pk227,10/1/18 16:41,TRUE,complete,10/1/18 17:11,10/1/18 17:16,pickUpCompleted
1.00E+12,10/1/18 16:28,7.62E+11,Starbucks medium roast coffee,https://www.target.com/p/starbucks-pike-place-roast-medium-roast-ground-coffee-12oz/-/A-12954151,1,8.99,driveUpDelivery,Android-7.1.0,Tablet,browser,10/1/18 16:40,pk240,10/1/18 17:02,TRUE,complete,10/1/18 17:52,10/1/18 17:57,pickUpCompleted
1.00E+12,10/1/18 16:51,33200005445,Arm & Hammer Liquid Laundry Detergent,https://www.target.com/p/arm---38--hammer-plus-oxiclean-fresh-scent-liquid-laundry-detergent--224-fl-oz/-/A-49135699,2,11.99,driveUpDelivery,ios-9.3.6,Tablet,browser,10/1/18 16:59,pk239,10/1/18 17:16,TRUE,complete,10/1/18 18:17,10/1/18 18:21,pickUpCompleted
1.00E+12,10/1/18 16:51,72785137349,Citrus Grove Liquid Hand Soap,https://www.target.com/p/citrus-grove-liquid-hand-soap-10-fl-oz-smartly-8482/-/A-77592715,1,0.99,driveUpDelivery,ios-9.3.6,Tablet,browser,10/1/18 16:59,pk239,10/1/18 17:16,TRUE,complete,10/1/18 18:17,10/1/18 18:21,pickUpCompleted
1.00E+12,10/1/18 17:06,7.52E+11,PowerXL Vortex Air Fryer,https://www.target.com/p/as-seen-on-tv-powerxl-vortex-air-fryer--3qt---black/-/A-76544201,1,99.99,driveUpDelivery,ios-9.3.5,Mobile,browser,10/1/18 17:13,pk238,10/1/18 17:27,TRUE,complete,10/1/18 18:46,10/1/18 18:50,pickUpCompleted
1.00E+12,10/1/18 17:06,11217994716,Double Zipper snack bags,https://www.target.com/p/double-zipper-snack-size-bags-150ct-up-up-8482/-/A-16360916,3,3.49,driveUpDelivery,ios-9.3.5,Mobile,browser,10/1/18 17:13,pk238,10/1/18 17:27,TRUE,complete,10/1/18 18:46,10/1/18 18:50,pickUpCompleted
1.00E+12,10/1/18 17:31,85239021873,Archer Farms Monster Trail Mix,https://www.target.com/p/monster-trail-mix-36oz-archer-farms-153/-/A-53169296,1,7.99,driveUpDelivery,ios-9.3.6,Mobile,browser,10/1/18 17:43,pk234,10/1/18 18:13,TRUE,complete,10/1/18 18:58,10/1/18 19:02,pickUpCompleted
1.00E+12,10/1/18 17:31,5.01E+12,Rimmel Long lasting lipstick,https://www.target.com/p/rimmel-lasting-finish-lipstick-264-coffee-shimmer---0-14floz/-/A-52533864,1,4.99,driveUpDelivery,ios-9.3.6,Mobile,browser,10/1/18 17:43,pk234,10/1/18 18:13,TRUE,complete,10/1/18 18:58,10/1/18 19:02,pickUpCompleted
1.00E+12,10/1/18 17:31,8.49E+11," 10"" Gel Foam Mattress",https://www.target.com/p/california-king-comfort-collection-gel-10--34--memory-foam-mattress---lucid/-/A-54670876,1,419.99,driveUpDelivery,ios-9.3.6,Mobile,browser,10/1/18 17:43,pk234,10/1/18 18:13,TRUE,complete,10/1/18 18:58,10/1/18 19:02,declined
1.00E+12,10/1/18 17:31,4.90E+11,Up & Up AA Batteries,https://www.target.com/p/aa-batteries-10ct-up-up-153/-/A-53692528,1,8.49,driveUpDelivery,ios-9.3.6,Mobile,browser,10/1/18 17:43,pk234,10/1/18 18:13,TRUE,complete,10/1/18 18:58,10/1/18 19:02,pickUpCompleted
1.00E+12,10/1/18 17:31,4.91E+11,Set of 3 Non-Stick Cookie Sheets Made By Design,https://www.target.com/p/set-of-3-non-stick-cookie-sheets-carbon-steel-made-by-design-8482/-/A-53118936,2,13,driveUpDelivery,ios-9.3.6,Mobile,browser,10/1/18 17:43,pk234,10/1/18 18:13,TRUE,complete,10/1/18 18:58,10/1/18 19:02,declined
1.00E+12,10/1/18 17:31,73257014427,Tall FlexGuard Kitchen Trash Bags 13 Gallon,https://www.target.com/p/flexguard-tall-kitchen-drawstring-trash-bags-unscented-13-gallon-60ct-up-up-153/-/A-14738971,1,8.99,driveUpDelivery,ios-9.3.6,Mobile,browser,10/1/18 17:43,pk234,10/1/18 18:13,TRUE,complete,10/1/18 18:58,10/1/18 19:02,pickUpCompleted
1.00E+12,10/1/18 17:53,37000874744,Downy Liquid Detergent,https://www.target.com/p/tide-plus-a-touch-of-downy-april-fresh-high-efficiency-liquid-laundry-detergent---138-fl-oz/-/A-15071687,2,17.99,driveUpDelivery,Android-8.1,Mobile,browser,10/1/18 18:07,pk238,10/1/18 18:32,TRUE,complete,10/1/18 20:02,10/1/18 20:06,pickUpCompleted
1.00E+12,10/1/18 18:05,81877502248,convertible crib 4 in 1,https://www.target.com/p/storkcraft-steveston-4-in-1-convertible-crib-and-changer-with-drawer/-/A-53910066?preselect=75559733#lnk=sametab,1,279.99,driveUpDelivery,Android-8.1,Mobile,browser,10/1/18 18:17,pk236,10/1/18 18:36,FALSE,cancelled,---,---,--
1.00E+12,10/1/18 18:05,7.62E+11,Starbucks medium roast coffee,https://www.target.com/p/starbucks-pike-place-roast-medium-roast-ground-coffee-12oz/-/A-12954151,1,8.99,driveUpDelivery,Android-8.1,Mobile,browser,10/1/18 18:17,pk236,10/1/18 18:36,TRUE,cancelled,---,---,--
